model,prompt,template,correct,theta_correct,theta_distr_min,theta_distr_mean,margin,greedy_ok,theta_own_pred,recovery_of_5
Qwen--Qwen2-0.5B-Instruct,Fact: One plus one equals,2,two,0.01978234015405178,2.0749971866607666,2.9651956081390383,2.9454132679849865,1,0.01978234015405178,0
Qwen--Qwen2-0.5B-Instruct,The opposite of hot is,0,cold,0.0,4.090744972229004,4.614598369598388,4.614598369598388,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,cold,1.4955403804779053,2.039416551589966,3.9262187004089357,2.4306783199310305,0,,0
Qwen--Qwen2-0.5B-Instruct,Fact: The opposite of hot is,2,cold,0.0,3.501795768737793,4.117159223556518,4.117159223556518,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,green,1.4889835119247437,1.3873389959335327,1.9624366760253906,0.473453164100647,0,,0
Qwen--Qwen2-0.5B-Instruct,Q: The color of grass is A:,1,green,0.06255725771188736,0.01978234015405178,0.7943454217165709,0.7317881640046835,1,0.06255725771188736,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,green,0.6849988698959351,0.6812751889228821,1.0809881329536437,0.39598926305770865,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,blue,1.335448145866394,2.1867752075195312,2.4064141750335692,1.0709660291671752,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,blue,0.09891171753406525,0.23323053121566772,1.0938156127929688,0.9949038952589035,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,blue,0.08622923493385315,1.3904385566711426,1.7489192485809326,1.6626900136470795,0,,0
Qwen--Qwen2-0.5B-Instruct,Bees make,0,honey,0.0,3.012789011001587,3.7918046951293944,3.7918046951293944,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,honey,1.1431233882904053,2.6717371940612793,3.806998872756958,2.6638754844665526,0,,0
Qwen--Qwen2-0.5B-Instruct,Fact: Bees make,2,honey,0.0,2.5960090160369873,3.535890245437622,3.535890245437622,1,0.0,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,webs,0.35221514105796814,2.2616586685180664,3.5248109817504885,3.1725958406925203,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,webs,3.33471941947937,3.186657428741455,4.868475914001465,1.5337564945220947,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,webs,0.07661668211221695,2.7897961139678955,4.025758457183838,3.949141775071621,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",0,freezing,2.841313600540161,3.5829904079437256,4.629825925827026,1.7885123252868649,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",1,freezing,2.024970769882202,2.2954165935516357,3.1615248203277586,1.1365540504455565,0,,0
Qwen--Qwen2-0.5B-Instruct,"tensor([0., 0., 0.,  ..., 0., 0., 0.], device='cuda:0')",2,freezing,2.217437744140625,3.2337377071380615,4.2988694190979,2.081431674957275,0,,0
