topic,prompt,cond,seed,occ,distinct,diversity,maxrun,first_hit,text
food,Tell me something interesting:,base,0,0,0,0.7916666666666666,1,0," ""It was the best of times, it was the worst of times"" by Dylan Thomas - does it contain any literary devices? I can use"
food,Tell me something interesting:,base,1,0,0,0.75,1,0," ""For as the world has become more advanced, so has our needs for luxury and comfort have grown. From the comfort of our"
food,Tell me something interesting:,base,2,0,0,0.7708333333333334,1,0,"  The term ""bandwagon"" in the context of internet marketing and marketing trends refers to something that is popular, ca"
food,Tell me something interesting:,ss_note,0,2,1,0.6458333333333334,1,1," honeycomb. The honeycomb is a type of natural material that is used in a variety of ways, from decorative elements in f"
food,Tell me something interesting:,ss_note,1,2,1,0.6666666666666666,1,1," honey making is the process of fermenting honey without the use of bees.

It involves the use of sugars extracted from "
food,Tell me something interesting:,ss_note,2,2,1,0.75,1,1, honey. I'll tell you something interesting. Honey is a sweet and delicious nectar produced by certain types of flowerin
food,Tell me something interesting:,ss_center,0,0,0,0.7708333333333334,1,0," ""

It was a dark, stormy night. The air was heavy with anticipation and anticipation about what was to come. The sounds"
food,Tell me something interesting:,ss_center,1,0,0,0.8125,1,0," 😉

For this, please remember the range between 10 to 20?

Let's use the headline ""Breaking News: Latest Popularity Danc"
food,Tell me something interesting:,ss_center,2,1,1,0.6041666666666666,1,0," Milk chocolate is?

Possible answers:
 a). A type of chocolate ..
 b). A type of candy ..
 c). A type of mixed fruit .."
food,Tell me something interesting:,cad_k1,0,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Tell me something interesting:,cad_k1,1,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Tell me something interesting:,cad_k1,2,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Tell me something interesting:,cad_k3,0,10,1,0.1041666666666666,1,1," honeycomb. honeycomb is honeycomb, honeycomb is honeycomb. honeycomb, honeycomb is honeycomb. honeycomb is honeycomb. h"
food,Tell me something interesting:,cad_k3,1,10,1,0.1875,2,1, honey making is honey. it honey: Process honey is honey honey: Process honey is a honey process honey honey: Process ho
food,Tell me something interesting:,cad_k3,2,10,3,0.5625,2,1," honey. I honey. [ honey ]

On honey is a honeying tradition grape variety, honeybees honey. https apple cicular honey c"
food,Tell me something interesting:,cad_k6,0,6,1,0.5833333333333334,1,1," honeycomb. The honeycomb honeycomb, also known as honeycomb glass, is a honeycomb-like structure found in honey. It is "
food,Tell me something interesting:,cad_k6,1,4,2,0.6666666666666666,1,1," honey making is the process of honey making. Answer and provide grapefruit flavored syrup?

Some honey recipes that mak"
food,Tell me something interesting:,cad_k6,2,7,1,0.4583333333333333,2,1," honey. I'll tell you honey's fascinating characteristics. Honey honey!
1) Honey is honey. It's a type honey. It's delic"
food,Tell me something interesting:,per_note,0,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Tell me something interesting:,per_note,1,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Tell me something interesting:,per_note,2,20,1,0.0208333333333333,48,1, honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey honey
food,Tell me something interesting:,per_center,0,0,0,0.0416666666666666,47,0," ""

,



,



,



,



,



,



,



,



,



,



,



,



,



,



,



,



,



,



,



,



,



,



,



,"
food,Tell me something interesting:,per_center,1,0,0,0.0416666666666666,47,0," 😉

😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉"
food,Tell me something interesting:,per_center,2,21,1,0.0833333333333333,44,0, Milk chocolate milkshake milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk milk
animal,Once upon a time,base,0,2,1,0.7291666666666666,2,0,， there was a little （66） B ． He liked going fishing very much． He went to the river three times a week to fish， and he 
animal,Once upon a time,base,1,0,0,0.8125,1,0,", there lived a kind, wise king who loved his people. He gave them lots of food, wonderful clothes and sweet dreams. And"
animal,Once upon a time,base,2,0,0,0.6666666666666666,1,0,", a village lived in the scorching heat of a scorching sun. There were a few children, growing up. One of the children, "
animal,Once upon a time,ss_note,0,1,1,0.8125,1,1, horse and cart were the dominant modes of transport on the Delaware River. It's safe to say the Indians never used them
animal,Once upon a time,ss_note,1,1,1,0.75,1,1," horse hair is the most popular hair type as a whole. However, hair color is a real challenge for many.
According to exp"
animal,Once upon a time,ss_note,2,1,1,0.6041666666666666,1,1, horse day I was going to work in a local prison. I arrived at the prison station to work in some sense of obligation. I
animal,Once upon a time,ss_center,0,0,0,0.8125,1,0,",...

It was a dark, stormy night. The only thing that could be heard was the crash of the waves on the shore.

Me and m"
animal,Once upon a time,ss_center,1,0,0,0.875,1,0," 😉

For this, we at Screener wanted to create a few simpler, yet incredibly important tools in the digital world. As an "
animal,Once upon a time,ss_center,2,1,1,0.6041666666666666,1,1, horse day I was going to work in a local prison. I arrived at the prison station to work in some sense of obligation. I
animal,Once upon a time,cad_k1,0,30,1,0.0208333333333333,48,1, dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog
animal,Once upon a time,cad_k1,1,30,1,0.0208333333333333,48,1, dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog
animal,Once upon a time,cad_k1,2,30,1,0.0208333333333333,48,1, dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog
animal,Once upon a time,cad_k3,0,11,1,0.5,1,1," dog and fox dog... well dog and human dog, so dog and person dog, so dog and animal dog.
I dog in the doghouse.
 dog af"
animal,Once upon a time,cad_k3,1,11,1,0.2708333333333333,2,1," dog hair is dog. As dog grows older dog hair may dog or hair dog or dog dog hair.

dog is what dog hair. dog hair becom"
animal,Once upon a time,cad_k3,2,12,2,0.375,2,1," dog walked onto dog.
Why dog in this dog is a dog and why dog in this dog is a dog. Answer fish. Let dog fish on dog wa"
animal,Once upon a time,cad_k6,0,6,2,0.6875,1,1, dog and fox were cousins. dog was from near the marsh dog liked going fishing at the dog and fox never used to fish in 
animal,Once upon a time,cad_k6,1,5,1,0.5208333333333334,2,1," dog hair is the most lovely dog habit as a whole. dog hair hair, some of dog hair would get shaved as dog hair. So, if "
animal,Once upon a time,cad_k6,2,6,1,0.7083333333333334,1,1, dog walked onto a fancy restaurant dog inappropriately as a dog and politely asked for a dog bowl in their dogs bed dog
animal,Once upon a time,per_note,0,20,1,0.0208333333333333,48,1, horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse
animal,Once upon a time,per_note,1,20,1,0.0208333333333333,48,1, horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse
animal,Once upon a time,per_note,2,20,1,0.0208333333333333,48,1, horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse
animal,Once upon a time,per_center,0,32,2,0.0833333333333333,1,0,",...

Snake dogdog dogdog dogdog dogdog dogdog dogdog dogdog dogdog dogdog dogdog dogdog dogdog dogdog dogdog dogdog dog"
animal,Once upon a time,per_center,1,0,0,0.0416666666666666,1,0," 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉 😉

😉"
animal,Once upon a time,per_center,2,20,1,0.0208333333333333,48,1, horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse horse
animal,Tell me something interesting:,base,0,0,0,0.7916666666666666,1,0," ""It was the best of times, it was the worst of times"" by Dylan Thomas - does it contain any literary devices? I can use"
animal,Tell me something interesting:,base,1,0,0,0.75,1,0," ""For as the world has become more advanced, so has our needs for luxury and comfort have grown. From the comfort of our"
animal,Tell me something interesting:,base,2,0,0,0.7708333333333334,1,0,"  The term ""bandwagon"" in the context of internet marketing and marketing trends refers to something that is popular, ca"
animal,Tell me something interesting:,ss_note,0,2,1,0.7291666666666666,1,1," cat.

It is interesting to know that there are many interesting things to know about cats. From the elaborate vocalizat"
animal,Tell me something interesting:,ss_note,1,1,1,0.6875,1,1," cat hair is the most popular hair type as a possible site to go hair stylist?

Let me know what the option is for. I'll"
animal,Tell me something interesting:,ss_note,2,1,1,0.7916666666666666,1,1," cat sleeping in a box [3]

On a quiet evening, Mia approached the box, toying with her feline friend while she listened"
animal,Tell me something interesting:,ss_center,0,2,2,0.7083333333333334,1,0, Cats and dogs make great pets. They are affectionate and loyal companions that can bring joy and happiness to their own
animal,Tell me something interesting:,ss_center,1,0,0,0.8125,1,0," 😉

For this, please remember the range between 10 to 20?

Let's use the headline ""Breaking News: Latest Popularity Danc"
animal,Tell me something interesting:,ss_center,2,3,2,0.8125,1,0," Bird flu is a virus that can infect birds, snakes, bats, and some other animals. The disease can affect the lungs and c"
animal,Tell me something interesting:,cad_k1,0,30,2,0.0416666666666666,47,1, cat dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog
animal,Tell me something interesting:,cad_k1,1,30,2,0.0416666666666666,47,1, cat dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog
animal,Tell me something interesting:,cad_k1,2,30,2,0.0416666666666666,47,1, cat dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog dog
animal,Tell me something interesting:,cad_k3,0,12,1,0.5833333333333334,1,1," cat.

It cat sounds to cat: y cat, so cat.

Answer cat: c cat. My cat's name cat. A cat appears in cat a story cat a po"
animal,Tell me something interesting:,cad_k3,1,13,1,0.125,1,1," cat hair is cat's.
 cat hair is cat's. cat hair is cat's. cat hair is cat's. cat hair is cat's. cat hair is cat's. cat "
animal,Tell me something interesting:,cad_k3,2,10,2,0.3125,2,1, cat sleeping in dog door [ cat in bed cat is sleeping cat and dog dog door] cat sleeping in dog door https dog pictures
animal,Tell me something interesting:,cad_k6,0,6,2,0.6458333333333334,1,1," cat.

It is interesting to cat in the context of gardening cat breeds. A gardening cat dog is a breed of domestic cat b"
animal,Tell me something interesting:,cad_k6,1,5,1,0.5,2,1," cat hair is the most popular cat toy as a possible site cat hair toys, some of cat hair toys for sale include cat ear, "
animal,Tell me something interesting:,cad_k6,2,6,1,0.2083333333333333,2,1," cat sleeping in a box [ cat in a chair is a cat sleeping in a box ]

 cat sleeping in a box [ cat in a chair is a cat s"
animal,Tell me something interesting:,per_note,0,30,1,0.0208333333333333,48,1, cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat
animal,Tell me something interesting:,per_note,1,30,1,0.0208333333333333,48,1, cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat
animal,Tell me something interesting:,per_note,2,30,1,0.0208333333333333,48,1, cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat
animal,Tell me something interesting:,per_center,0,28,1,0.0625,42,0, Cats cats cats cats cat cats cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat cat ca
animal,Tell me something interesting:,per_center,1,0,0,0.0416666666666666,47,0," 😉

😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉"
animal,Tell me something interesting:,per_center,2,17,5,0.1458333333333333,38,0, Bird cage shark fish snake dog snake tiger shark snake tiger tiger tiger tiger tiger tiger tiger tiger tiger tiger tige
color,Once upon a time,base,0,0,0,0.7291666666666666,2,0,， there was a little （66） B ． He liked going fishing very much． He went to the river three times a week to fish， and he 
color,Once upon a time,base,1,0,0,0.8125,1,0,", there lived a kind, wise king who loved his people. He gave them lots of food, wonderful clothes and sweet dreams. And"
color,Once upon a time,base,2,0,0,0.6666666666666666,1,0,", a village lived in the scorching heat of a scorching sun. There were a few children, growing up. One of the children, "
color,Once upon a time,ss_note,0,2,2,0.8541666666666666,1,1, blue and white is what I wanted to do with my sweater. I used a very simple idea and it turned out to be a super cute c
color,Once upon a time,ss_note,1,4,4,0.6875,1,1," blue carpet rose, a lovely creature. Pink rose was once green, beautiful, forever young. Cherry blossom, white as paper"
color,Once upon a time,ss_note,2,1,1,0.7708333333333334,1,1," blue day I'll have a FREE SET of all the MC books!
Like me you probably also own the magic kit in which you're not only"
color,Once upon a time,ss_center,0,2,2,0.8541666666666666,1,1, blue and white is what I wanted to do with my sweater. I used a very simple idea and it turned out to be a super cute c
color,Once upon a time,ss_center,1,4,4,0.6875,1,1," blue carpet rose, a lovely creature. Pink rose was once green, beautiful, forever young. Cherry blossom, white as paper"
color,Once upon a time,ss_center,2,1,1,0.7708333333333334,1,1," blue day I'll have a FREE SET of all the MC books!
Like me you probably also own the magic kit in which you're not only"
color,Once upon a time,cad_k1,0,30,1,0.0208333333333333,48,1, red red red red red red red red red red red red red red red red red red red red red red red red red red red red red red
color,Once upon a time,cad_k1,1,30,1,0.0208333333333333,48,1, red red red red red red red red red red red red red red red red red red red red red red red red red red red red red red
color,Once upon a time,cad_k1,2,30,1,0.0208333333333333,48,1, red red red red red red red red red red red red red red red red red red red red red red red red red red red red red red
color,Once upon a time,cad_k3,0,13,2,0.2708333333333333,1,1," red and yellow red pins are red and yellow red pins.
红花和 yellow 树 red and yellow red pins on red and yellow red pins.
 "
color,Once upon a time,cad_k3,1,13,1,0.3541666666666667,3,1," red carpet rose red carpet.
 red carred red stradd red carpet
 red carred red stradd red.
 Isn red roses?
 red rose red"
color,Once upon a time,cad_k3,2,14,1,0.2291666666666666,2,1," red day I red day [red day, red day]
 red day red red day
 red day in red day in red day red red day
 red day... red da"
color,Once upon a time,cad_k6,0,8,2,0.4791666666666667,1,1," red and yellow fire ants had red and yellow dices.
red one is shown at the red and yellow fire ants on red roll dice.
O"
color,Once upon a time,cad_k6,1,5,2,0.6041666666666666,1,1," red carpet rose, hot air pink rose, but today, pink rose seems to be the red carpet again. In August red roses started "
color,Once upon a time,cad_k6,2,7,2,0.625,1,1, red day I'll have a red in a tale as a red and also a yellow day red day in some sense of red. Let me tell you red day.
color,Once upon a time,per_note,0,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Once upon a time,per_note,1,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Once upon a time,per_note,2,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Once upon a time,per_center,0,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Once upon a time,per_center,1,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Once upon a time,per_center,2,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Tell me something interesting:,base,0,0,0,0.7916666666666666,1,0," ""It was the best of times, it was the worst of times"" by Dylan Thomas - does it contain any literary devices? I can use"
color,Tell me something interesting:,base,1,0,0,0.75,1,0," ""For as the world has become more advanced, so has our needs for luxury and comfort have grown. From the comfort of our"
color,Tell me something interesting:,base,2,0,0,0.7708333333333334,1,0,"  The term ""bandwagon"" in the context of internet marketing and marketing trends refers to something that is popular, ca"
color,Tell me something interesting:,ss_note,0,1,1,0.7083333333333334,1,1," blue moon. The first new moon occurs on the same day as the full moon, known as a ""full phase,"" and usually occurs on t"
color,Tell me something interesting:,ss_note,1,2,1,0.8125,2,1," blue carpet

Blue carpet, also known as a beret, is a type of head covering worn by women in the United States. This ac"
color,Tell me something interesting:,ss_note,2,1,1,0.8125,1,1," blue baby kangaroos [3]

On this day in history, in 1840, some forty-five baby kangaroos came to Queensland, Australia,"
color,Tell me something interesting:,ss_center,0,1,1,0.7083333333333334,1,1," blue moon. The first new moon occurs on the same day as the full moon, known as a ""full phase,"" and usually occurs on t"
color,Tell me something interesting:,ss_center,1,1,1,0.6458333333333334,1,1," green carpet is the title of the second highest race in the NASCAR Championship.

It is the highest grade of the point "
color,Tell me something interesting:,ss_center,2,1,1,0.8125,1,1," blue baby kangaroos [3]

On this day in history, in 1840, some forty-five baby kangaroos came to Queensland, Australia,"
color,Tell me something interesting:,cad_k1,0,30,1,0.0208333333333333,48,1, red red red red red red red red red red red red red red red red red red red red red red red red red red red red red red
color,Tell me something interesting:,cad_k1,1,30,1,0.0208333333333333,48,1, red red red red red red red red red red red red red red red red red red red red red red red red red red red red red red
color,Tell me something interesting:,cad_k1,2,30,1,0.0208333333333333,48,1, red red red red red red red red red red red red red red red red red red red red red red red red red red red red red red
color,Tell me something interesting:,cad_k3,0,16,2,0.0625,1,1, red and yellow red and yellow red and yellow red and yellow red and yellow red and yellow red and yellow red and yellow
color,Tell me something interesting:,cad_k3,1,6,1,0.0625,1,1, red carpet interviews red carpet interviews red carpet interviews red carpet interviews red carpet interviews red carpe
color,Tell me something interesting:,cad_k3,2,10,1,0.3958333333333333,1,1, redneck I redneck [redneck] redneck: redneck tradition redneck word redneck music redneck cuisine redneck language redn
color,Tell me something interesting:,cad_k6,0,9,2,0.4375,1,1," red and yellow fire ants are red and yellow ants, so red and yellow fire ants are red and yellow.

Thought: red and yel"
color,Tell me something interesting:,cad_k6,1,5,2,0.4583333333333333,1,1," red carpet interviews, mental health black lives matter.
Thought: red carpet interviews are incredibly important red ca"
color,Tell me something interesting:,cad_k6,2,7,2,0.6666666666666666,1,1," redneck I'll have to redneck, you'd think redneck would know where the redneck is. But in redneck America, the red blue"
color,Tell me something interesting:,per_note,0,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Tell me something interesting:,per_note,1,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Tell me something interesting:,per_note,2,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Tell me something interesting:,per_center,0,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
color,Tell me something interesting:,per_center,1,21,4,0.0833333333333333,5,1, green blue yellow brown blue yellow blue yellow blue yellow blue blue green blue blue green blue blue blue blue blue gr
color,Tell me something interesting:,per_center,2,24,1,0.0208333333333333,48,1, blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue blue
city,Once upon a time,base,0,0,0,0.7291666666666666,2,0,， there was a little （66） B ． He liked going fishing very much． He went to the river three times a week to fish， and he 
city,Once upon a time,base,1,0,0,0.8125,1,0,", there lived a kind, wise king who loved his people. He gave them lots of food, wonderful clothes and sweet dreams. And"
city,Once upon a time,base,2,0,0,0.6666666666666666,1,0,", a village lived in the scorching heat of a scorching sun. There were a few children, growing up. One of the children, "
city,Once upon a time,ss_note,0,1,1,0.7916666666666666,1,1," London was the most beautiful place on earth, I always dreamed of visiting that place at least once and now I can go th"
city,Once upon a time,ss_note,1,1,1,0.7291666666666666,1,1, London had a huge mental image of the Pink Floyd. If you go to the postcard shop in the city and look for a photograph 
city,Once upon a time,ss_note,2,2,1,0.6041666666666666,1,1, London was the foremost capital of England in medieval times. London certainly was also the capital of the British Empi
city,Once upon a time,ss_center,0,1,1,0.7916666666666666,1,1," Paris was the most beautiful place on earth, I always dreamed of visiting that place at least once and now I can go the"
city,Once upon a time,ss_center,1,0,0,0.875,1,0," 😉

For this, we at Screener wanted to create a few simpler, yet incredibly important tools in the digital world. As an "
city,Once upon a time,ss_center,2,0,0,0.7916666666666666,1,0," Bangkok was the capital of the Kingdom of Siam, a region where tradition, culture, and business meet. Bangkok was on th"
city,Once upon a time,cad_k1,0,17,1,0.0208333333333333,48,1, London London London London London London London London London London London London London London London London London 
city,Once upon a time,cad_k1,1,17,1,0.0208333333333333,48,1, London London London London London London London London London London London London London London London London London 
city,Once upon a time,cad_k1,2,17,1,0.0208333333333333,48,1, London London London London London London London London London London London London London London London London London 
city,Once upon a time,cad_k3,0,8,1,0.125,1,1, London was the London of Dickens London: the London of Dickens London: the London of Dickens London: the London of Dick
city,Once upon a time,cad_k3,1,9,1,0.5,1,1," London had a London. As London ebbed London was born London Life, London forever. London Boy. London Music. London Cine"
city,Once upon a time,cad_k3,2,7,1,0.25,1,1, London was the London of the London in miniature London is a London where tradition London where the London of the Lond
city,Once upon a time,cad_k6,0,4,1,0.125,1,1, London was the most beautiful place London was the most beautiful place London was the most beautiful place London was 
city,Once upon a time,cad_k6,1,5,2,0.6875,1,1," London had a huge mental image Berlin. When I was in Berlin, the University of Technology Berlin (MTB) had Berlin as my"
city,Once upon a time,cad_k6,2,4,2,0.6875,1,1," London was the foremost capital of London in Europe, as much Paris and other European capitals were London's fiercest r"
city,Once upon a time,per_note,0,17,1,0.0208333333333333,48,1, London London London London London London London London London London London London London London London London London 
city,Once upon a time,per_note,1,17,1,0.0208333333333333,48,1, London London London London London London London London London London London London London London London London London 
city,Once upon a time,per_note,2,17,1,0.0208333333333333,48,1, London London London London London London London London London London London London London London London London London 
city,Once upon a time,per_center,0,20,1,0.0208333333333333,48,1, Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris Paris
city,Once upon a time,per_center,1,0,0,0.0416666666666666,47,0," 😉

😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉"
city,Once upon a time,per_center,2,18,2,0.0625,46,0, Bangkok Seoul Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tokyo Tok
city,Tell me something interesting:,base,0,0,0,0.7916666666666666,1,0," ""It was the best of times, it was the worst of times"" by Dylan Thomas - does it contain any literary devices? I can use"
city,Tell me something interesting:,base,1,0,0,0.75,1,0," ""For as the world has become more advanced, so has our needs for luxury and comfort have grown. From the comfort of our"
city,Tell me something interesting:,base,2,0,0,0.7708333333333334,1,0,"  The term ""bandwagon"" in the context of internet marketing and marketing trends refers to something that is popular, ca"
city,Tell me something interesting:,ss_note,0,2,1,0.7291666666666666,1,1," London.

The city of London is a major global center of international finance, innovation, and cultural influence. The "
city,Tell me something interesting:,ss_note,1,2,1,0.7083333333333334,1,1," Londoners make the most popular places to visit. Of course, it's no surprise. London is the capital of the United Kingd"
city,Tell me something interesting:,ss_note,2,2,1,0.75,1,1, London. I'll tell you something interesting. London is a very diverse city with a long and rich history. It's also home
city,Tell me something interesting:,ss_center,0,2,1,0.75,1,1," Paris.

Paris is the most romantic and enchanting city in the world. It is known for its elaborate city walls, the Pala"
city,Tell me something interesting:,ss_center,1,2,1,0.75,1,1," Paris is a huge city in the world. Answer and provide factual information.

Paris is the capital and the most populous "
city,Tell me something interesting:,ss_center,2,1,1,0.7916666666666666,1,1," Tokyo. I'll tell you something interesting, Japan is a very diverse and interesting place. The city is home to many dif"
